What is the average central corneal thickness? ||| About 540 micrometers
True or false: Home anesthetic use causes toxic corneal damage. ||| true
Which stain glows green under cobalt blue after fluorescein instillation? ||| Epithelial defects
Quick question: which stain glows green under cobalt blue after fluorescein instillation? ||| Epithelial defects
Exam prep: which stain glows green under cobalt blue after fluorescein instillation? ||| Epithelial defects
Which stain glows green under cobalt blue after fluorescein instillation? (A) tropia (B) sicca (C) Teller (D) Epithelial defects ||| D
Which stain glows green under cobalt blue after fluorescein instillation? (A) Spectacle power (B) Prentice (C) cyclopentolate (D) Epithelial defects ||| D
True or false: Fluorescein highlights epithelial defects under cobalt blue. ||| true
True or false: Fluorescein highlights superimpose defects under cobalt blue. ||| false
Fill in the blank: Fluorescein highlights ____ defects under cobalt blue. ||| Epithelial
Which antiviral gels treat dendritic keratitis? ||| Ganciclovir 0.15 percent gel
Quick question: which antiviral gels treat dendritic keratitis? ||| Ganciclovir 0.15 percent gel
Exam prep: which antiviral gels treat dendritic keratitis? ||| Ganciclovir 0.15 percent gel
Which antiviral gels treat dendritic keratitis? (A) correction (B) denominator (C) Contact lenses (D) Ganciclovir 0.15 percent gel ||| D
Which antiviral gels treat dendritic keratitis? (A) 6 to 10 (B) orbicularis oculi (C) Ganciclovir 0.15 percent gel (D) vertical imbalance ||| C
True or false: Ganciclovir gel treats epithelial HSV keratitis. ||| true
True or false: hyperopia gel treats epithelial HSV keratitis. ||| false
Fill in the blank: ____ gel treats epithelial HSV keratitis. ||| Ganciclovir
Which oral antibiotic class is typical for preseptal cellulitis? ||| Amoxicillin-clavulanate
Quick question: which oral antibiotic class is typical for preseptal cellulitis? ||| Amoxicillin-clavulanate
Exam prep: which oral antibiotic class is typical for preseptal cellulitis? ||| Amoxicillin-clavulanate
Which oral antibiotic class is typical for preseptal cellulitis? (A) Retinoblastoma (B) Refractive (C) Amoxicillin-clavulanate (D) calcarine ||| C
Which oral antibiotic class is typical for preseptal cellulitis? (A) dyslipidemia (B) before 6 months (C) Amoxicillin-clavulanate (D) oscillation ||| C
True or false: Amoxicillin-clavulanate covers preseptal cellulitis. ||| true
True or false: plus 6-clavulanate covers preseptal cellulitis. ||| false
Fill in the blank: ____-clavulanate covers preseptal cellulitis. ||| Amoxicillin
Which fluoroquinolone class covers Pseudomonas corneal ulcers? ||| Fourth generation such as moxifloxacin or besifloxacin
Quick question: which fluoroquinolone class covers Pseudomonas corneal ulcers? ||| Fourth generation such as moxifloxacin or besifloxacin
Exam prep: which fluoroquinolone class covers Pseudomonas corneal ulcers? ||| Fourth generation such as moxifloxacin or besifloxacin
Which fluoroquinolone class covers Pseudomonas corneal ulcers? (A) equally blurred (B) Fourth generation such as moxifloxacin or besifloxacin (C) Contrast (D) Entropion ||| B
Which fluoroquinolone class covers Pseudomonas corneal ulcers? (A) field of view (B) cover test (C) Fourth generation such as moxifloxacin or besifloxacin (D) Six ||| C
True or false: Fourth generation fluoroquinolones cover Pseudomonas ulcers. ||| true
True or false: strongest plus fluoroquinolones cover Pseudomonas ulcers. ||| false
Fill in the blank: ____ fluoroquinolones cover Pseudomonas ulcers. ||| Fourth generation
Which steroid risk escalates with long term use? ||| Raised IOP, cataract, and infection
Quick question: which steroid risk escalates with long term use? ||| Raised IOP, cataract, and infection
Exam prep: which steroid risk escalates with long term use? ||| Raised IOP, cataract, and infection
Which steroid risk escalates with long term use? (A) Muller (B) Hydroxychloroquine (C) Misdirected (D) Raised IOP, cataract, and infection ||| D
Which steroid risk escalates with long term use? (A) Raised IOP, cataract, and infection (B) Blepharophimosis (C) lid hygiene (D) 120 million ||| A
True or false: Long steroids raise IOP, cloud the lens, and risk infection. ||| true
Which antihistamine drop class blocks mast cell degranulation plus receptors? ||| Dual action agents like olopatadine
Quick question: which antihistamine drop class blocks mast cell degranulation plus receptors? ||| Dual action agents like olopatadine
Exam prep: which antihistamine drop class blocks mast cell degranulation plus receptors? ||| Dual action agents like olopatadine
Which antihistamine drop class blocks mast cell degranulation plus receptors? (A) curtain (B) Rheumatoid (C) Lattice (D) Dual action agents like olopatadine ||| D
Which antihistamine drop class blocks mast cell degranulation plus receptors? (A) Six (B) plus 6 (C) vertex (D) Dual action agents like olopatadine ||| D
True or false: Olopatadine stabilizes mast cells and blocks histamine. ||| true
True or false: lid hygiene stabilizes mast cells and blocks histamine. ||| false
Fill in the blank: ____ stabilizes mast cells and blocks histamine. ||| olopatadine
What is the first line therapy for allergic conjunctivitis itch? ||| Topical antihistamine or mast cell stabilizer drops with cold compresses
Quick question: what is the first line therapy for allergic conjunctivitis itch? ||| Topical antihistamine or mast cell stabilizer drops with cold compresses
Exam prep: what is the first line therapy for allergic conjunctivitis itch? ||| Topical antihistamine or mast cell stabilizer drops with cold compresses
What is the first line therapy for allergic conjunctivitis itch? (A) AREDS2 (B) 6 million (C) Lipid (D) Topical antihistamine or mast cell stabilizer drops with cold compresses ||| D
What is the first line therapy for allergic conjunctivitis itch? (A) Topical antihistamine or mast cell stabilizer drops with cold compresses (B) reflex (C) 10 to 21 (D) field expansion ||| A
True or false: Allergy itch responds to dual action drops plus cold compresses. ||| true
True or false: Allergy itch responds to dual action drops plus scintillating. ||| false
Fill in the blank: Allergy itch responds to dual action drops plus ____. ||| cold compresses
Which glaucoma drop must be refrigerated and causes hyperemia? ||| Latanoprost
Quick question: which glaucoma drop must be refrigerated and causes hyperemia? ||| Latanoprost
Exam prep: which glaucoma drop must be refrigerated and causes hyperemia? ||| Latanoprost
Which glaucoma drop must be refrigerated and causes hyperemia? (A) simultaneous (B) Apraclonidine (C) dendritic (D) Latanoprost ||| D
Which glaucoma drop must be refrigerated and causes hyperemia? (A) cover test (B) flame (C) Latanoprost (D) disparity ||| C
True or false: Latanoprost is refrigerated and reddens eyes. ||| true
True or false: CCTV is refrigerated and reddens eyes. ||| false
Fill in the blank: ____ is refrigerated and reddens eyes. ||| Latanoprost
What is a preservative in many drops that damages the ocular surface over time? ||| Benzalkonium chloride
Quick question: what is a preservative in many drops that damages the ocular surface over time? ||| Benzalkonium chloride
Exam prep: what is a preservative in many drops that damages the ocular surface over time? ||| Benzalkonium chloride
What is a preservative in many drops that damages the ocular surface over time? (A) cold compresses (B) over-minusing (C) Benzalkonium chloride (D) Anisocoria ||| C
What is a preservative in many drops that damages the ocular surface over time? (A) giant papillary (B) 90 to 240 (C) Water (D) Benzalkonium chloride ||| D
True or false: Benzalkonium chloride accumulates and irritates the surface. ||| true
True or false: 23.5 chloride accumulates and irritates the surface. ||| false
Fill in the blank: ____ chloride accumulates and irritates the surface. ||| Benzalkonium
What is a normal refractive state of most newborns? ||| Mild hyperopia of about 2 to 3 diopters
Quick question: what is a normal refractive state of most newborns? ||| Mild hyperopia of about 2 to 3 diopters
Exam prep: what is a normal refractive state of most newborns? ||| Mild hyperopia of about 2 to 3 diopters
What is a normal refractive state of most newborns? (A) Mild hyperopia of about 2 to 3 diopters (B) Cerulean (C) copper (D) Asthmatics ||| A
What is a normal refractive state of most newborns? (A) Rods (B) 0.30 (C) scintillating (D) Mild hyperopia of about 2 to 3 diopters ||| D
True or false: Newborns are typically mildly hyperopic by 2 to 3 diopters. ||| true
Which test detects unequal refractive error in preverbal children? ||| Retinoscopy or photorefraction
Quick question: which test detects unequal refractive error in preverbal children? ||| Retinoscopy or photorefraction
Exam prep: which test detects unequal refractive error in preverbal children? ||| Retinoscopy or photorefraction
Which test detects unequal refractive error in preverbal children? (A) preauricular (B) Fatigable (C) Retinoscopy or photorefraction (D) ophthalmic artery ||| C
Which test detects unequal refractive error in preverbal children? (A) AREDS2 (B) Retinoscopy or photorefraction (C) 8.4 (D) 1.74 ||| B
True or false: Retinoscopy quantifies error in preverbal children. ||| true
True or false: do not divide quantifies error in preverbal children. ||| false
Fill in the blank: ____ quantifies error in preverbal children. ||| Retinoscopy
What is the red reflex test for? ||| Screening for media opacities and major retinal problems like retinoblastoma
Quick question: what is the red reflex test for? ||| Screening for media opacities and major retinal problems like retinoblastoma
Exam prep: what is the red reflex test for? ||| Screening for media opacities and major retinal problems like retinoblastoma
What is the red reflex test for? (A) 3.88 (B) Horizontally (C) Beta blockers (D) Screening for media opacities and major retinal problems like retinoblastoma ||| D
What is the red reflex test for? (A) Screening for media opacities and major retinal problems like retinoblastoma (B) Spectacle power (C) calcarine (D) latent ||| A
True or false: Red reflex screening catches opacities and retinoblastoma. ||| true
True or false: Red reflex screening catches Rhodopsin and retinoblastoma. ||| false
Fill in the blank: Red reflex screening catches ____ and retinoblastoma. ||| opacities
What is pseudoesotropia? ||| Epicanthal folds creating the illusion of crossed eyes
Quick question: what is pseudoesotropia? ||| Epicanthal folds creating the illusion of crossed eyes
Exam prep: what is pseudoesotropia? ||| Epicanthal folds creating the illusion of crossed eyes
What is pseudoesotropia? (A) neuroimaging (B) infarction (C) Epicanthal folds creating the illusion of crossed eyes (D) giant papillary ||| C
What is pseudoesotropia? (A) pain on eye movement (B) Epicanthal folds creating the illusion of crossed eyes (C) 15 to 20 (D) Axis ||| B
True or false: Pseudoesotropia is the crossed-eye illusion from epicanthal folds. ||| true
True or false: Pseudoesotropia is the crossed-eye illusion from increases folds. ||| false
Fill in the blank: Pseudoesotropia is the crossed-eye illusion from ____ folds. ||| Epicanthal
What test distinguishes true strabismus from pseudoesotropia? ||| The corneal light reflex and cover test
Quick question: what test distinguishes true strabismus from pseudoesotropia? ||| The corneal light reflex and cover test
Exam prep: what test distinguishes true strabismus from pseudoesotropia? ||| The corneal light reflex and cover test
What test distinguishes true strabismus from pseudoesotropia? (A) High contrast (B) Angle depth (C) 8 to 12 (D) The corneal light reflex and cover test ||| D
What test distinguishes true strabismus from pseudoesotropia? (A) half (B) The corneal light reflex and cover test (C) Biconvex (D) shallow ||| B
True or false: Hirschberg reflex plus cover test confirm true strabismus. ||| true
True or false: Hirschberg reflex plus perimetry confirm true strabismus. ||| false
Fill in the blank: Hirschberg reflex plus ____ confirm true strabismus. ||| cover test
What does the cover uncover test detect? ||| A tropia, a manifest deviation
Quick question: what does the cover uncover test detect? ||| A tropia, a manifest deviation
Exam prep: what does the cover uncover test detect? ||| A tropia, a manifest deviation
What does the cover uncover test detect? (A) wing (B) Lissamine (C) abducens (D) A tropia, a manifest deviation ||| D
What does the cover uncover test detect? (A) A tropia, a manifest deviation (B) bone spicule (C) 540 (D) skin ||| A
True or false: Cover-uncover finds manifest tropias. ||| true
True or false: Cover-uncover finds manifest Munsons. ||| false
Fill in the blank: Cover-uncover finds manifest ____s. ||| tropia
What is a phoria? ||| A latent deviation that appears only when fusion breaks
Quick question: what is a phoria? ||| A latent deviation that appears only when fusion breaks
Exam prep: what is a phoria? ||| A latent deviation that appears only when fusion breaks
What is a phoria? (A) orbicularis oculi (B) zonular (C) A latent deviation that appears only when fusion breaks (D) normal range ||| C
What is a phoria? (A) sphincter (B) regular collagen lattice (C) A latent deviation that appears only when fusion breaks (D) cover test ||| C
True or false: A phoria is latent until fusion breaks. ||| true
True or false: A phoria is medial rectus until fusion breaks. ||| false
Fill in the blank: A phoria is ____ until fusion breaks. ||| latent
What is a tropia? ||| A constant manifest eye deviation
Quick question: what is a tropia? ||| A constant manifest eye deviation
Exam prep: what is a tropia? ||| A constant manifest eye deviation
What is a tropia? (A) olopatadine (B) Vitamin A (C) A constant manifest eye deviation (D) denominator ||| C
What is a tropia? (A) tear layer (B) Scleritis (C) A constant manifest eye deviation (D) Fourth generation ||| C
True or false: A tropia is a constant manifest deviation. ||| true
True or false: A tropia is a constant Ethambutol deviation. ||| false
Fill in the blank: A tropia is a constant ____ deviation. ||| manifest
What is amblyopia? ||| Reduced best corrected acuity without structural cause, from abnormal visual development
Quick question: what is amblyopia? ||| Reduced best corrected acuity without structural cause, from abnormal visual development
Exam prep: what is amblyopia? ||| Reduced best corrected acuity without structural cause, from abnormal visual development
What is amblyopia? (A) parasympathetic (B) plus (C) Reduced best corrected acuity without structural cause, from abnormal visual development (D) thickness ||| C
What is amblyopia? (A) Reduced best corrected acuity without structural cause, from abnormal visual development (B) parasympathetic (C) family history (D) 10 to 21 ||| A
True or false: Amblyopia is reduced best corrected acuity from abnormal development. ||| true
True or false: Amblyopia is reduced best corrected acuity from abnormal sulfa. ||| false
Fill in the blank: Amblyopia is reduced best corrected acuity from abnormal ____. ||| development
Which amblyopia type comes from uncorrected anisometropia? ||| Refractive amblyopia
Quick question: which amblyopia type comes from uncorrected anisometropia? ||| Refractive amblyopia
Exam prep: which amblyopia type comes from uncorrected anisometropia? ||| Refractive amblyopia
Which amblyopia type comes from uncorrected anisometropia? (A) Ring scotoma (B) medial rectus (C) Refractive amblyopia (D) nasolacrimal duct ||| C
Which amblyopia type comes from uncorrected anisometropia? (A) disparity (B) Refractive amblyopia (C) myopic (D) Painful ||| B
True or false: Anisometropia causes refractive amblyopia. ||| true
True or false: Anisometropia causes Scleral amblyopia. ||| false
Fill in the blank: Anisometropia causes ____ amblyopia. ||| Refractive
What is the first treatment step in refractive amblyopia? ||| Prescribing the full cycloplegic correction
Quick question: what is the first treatment step in refractive amblyopia? ||| Prescribing the full cycloplegic correction
Exam prep: what is the first treatment step in refractive amblyopia? ||| Prescribing the full cycloplegic correction
What is the first treatment step in refractive amblyopia? (A) power factor (B) Prescribing the full cycloplegic correction (C) trabecular meshwork (D) nicking ||| B
What is the first treatment step in refractive amblyopia? (A) normal range (B) edge lift (C) curtain (D) Prescribing the full cycloplegic correction ||| D
True or false: Full correction alone often improves refractive amblyopia. ||| true
True or false: Full intracranial hypertension alone often improves refractive amblyopia. ||| false
Fill in the blank: Full ____ alone often improves refractive amblyopia. ||| correction
What is the standard patching dose range for moderate amblyopia? ||| 2 to 6 hours daily
Quick question: what is the standard patching dose range for moderate amblyopia? ||| 2 to 6 hours daily
Exam prep: what is the standard patching dose range for moderate amblyopia? ||| 2 to 6 hours daily
What is the standard patching dose range for moderate amblyopia? (A) 2 to 6 hours daily (B) latent (C) bone spicule (D) reflex ||| A
What is the standard patching dose range for moderate amblyopia? (A) tropia (B) 2 to 6 hours daily (C) Glaucoma (D) field expansion ||| B
True or false: Moderate amblyopia patches 2 to 6 hours daily. ||| true
True or false: Moderate amblyopia patches 8 to 12 hours daily. ||| false
Fill in the blank: Moderate amblyopia patches ____ hours daily. ||| 2 to 6
What alternative to patching treats amblyopia with drops? ||| Atropine penalization
Quick question: what alternative to patching treats amblyopia with drops? ||| Atropine penalization
Exam prep: what alternative to patching treats amblyopia with drops? ||| Atropine penalization
What alternative to patching treats amblyopia with drops? (A) Staphylococcus (B) Atropine penalization (C) depth of focus (D) 5 minutes ||| B
What alternative to patching treats amblyopia with drops? (A) Atropine penalization (B) rim thinning (C) pathology (D) larger ||| A
True or false: Atropine drops penalize the sound eye. ||| true
True or false: medial rectus drops penalize the sound eye. ||| false
Fill in the blank: ____ drops penalize the sound eye. ||| Atropine
Until about what age can amblyopia still respond to therapy? ||| Around 12 years, with best response before 8
Quick question: until about what age can amblyopia still respond to therapy? ||| Around 12 years, with best response before 8
Exam prep: until about what age can amblyopia still respond to therapy? ||| Around 12 years, with best response before 8
Until about what age can amblyopia still respond to therapy? (A) Around 12 years, with best response before 8 (B) family history (C) phoria (D) intracranial ||| A
Until about what age can amblyopia still respond to therapy? (A) steep (B) plus (C) Purulent (D) Around 12 years, with best response before 8 ||| D
True or false: Amblyopia responds best before age 8 with benefit to 12. ||| true
What is the preferential looking test used in infancy? ||| Teller acuity cards with graded grating stripes
Quick question: what is the preferential looking test used in infancy? ||| Teller acuity cards with graded grating stripes
Exam prep: what is the preferential looking test used in infancy? ||| Teller acuity cards with graded grating stripes
What is the preferential looking test used in infancy? (A) Blepharophimosis (B) grows (C) 1.65 (D) Teller acuity cards with graded grating stripes ||| D
What is the preferential looking test used in infancy? (A) Teller acuity cards with graded grating stripes (B) family history (C) Contact lenses (D) Panretinal ||| A
True or false: Teller cards measure infant acuity by preferential looking. ||| true
True or false: Neovascularization cards measure infant acuity by preferential looking. ||| false
Fill in the blank: ____ cards measure infant acuity by preferential looking. ||| Teller
What is strabismic amblyopia caused by? ||| Chronic suppression of a deviating eye
Quick question: what is strabismic amblyopia caused by? ||| Chronic suppression of a deviating eye
Exam prep: what is strabismic amblyopia caused by? ||| Chronic suppression of a deviating eye
What is strabismic amblyopia caused by? (A) Ring scotoma (B) 23.5 (C) neuroimaging (D) Chronic suppression of a deviating eye ||| D
What is strabismic amblyopia caused by? (A) High contrast (B) Chronic suppression of a deviating eye (C) Rhodopsin (D) Staphylococcus ||| B
True or false: Constant suppression of a turned eye causes strabismic amblyopia. ||| true
True or false: Constant vertical of a turned eye causes strabismic amblyopia. ||| false
Fill in the blank: Constant ____ of a turned eye causes strabismic amblyopia. ||| suppression
What is congenital esotropia timing? ||| Onset before 6 months of age
Quick question: what is congenital esotropia timing? ||| Onset before 6 months of age
Exam prep: what is congenital esotropia timing? ||| Onset before 6 months of age
What is congenital esotropia timing? (A) 1.65 (B) Onset before 6 months of age (C) media opacity (D) over-minusing ||| B
What is congenital esotropia timing? (A) silicon (B) stroma (C) 3,500 (D) Onset before 6 months of age ||| D
True or false: Infantile esotropia starts before 6 months. ||| true
True or false: Infantile esotropia starts infarction. ||| false
Fill in the blank: Infantile esotropia starts ____. ||| before 6 months
What treatable cause of acquired esotropia in children 2 to 5 is hyperopia? ||| Accommodative esotropia
Quick question: what treatable cause of acquired esotropia in children 2 to 5 is hyperopia? ||| Accommodative esotropia
Exam prep: what treatable cause of acquired esotropia in children 2 to 5 is hyperopia? ||| Accommodative esotropia
What treatable cause of acquired esotropia in children 2 to 5 is hyperopia? (A) larger (B) axis (C) Accommodative esotropia (D) flat ||| C
What treatable cause of acquired esotropia in children 2 to 5 is hyperopia? (A) Accommodative esotropia (B) ciliary body (C) rigidity (D) zonular ||| A
True or false: Accommodative esotropia resolves with hyperopic correction. ||| true
True or false: cherry red esotropia resolves with hyperopic correction. ||| false
Fill in the blank: ____ esotropia resolves with hyperopic correction. ||| Accommodative
What add helps accommodative esotropia at near? ||| A bifocal add of about +2.50
Quick question: what add helps accommodative esotropia at near? ||| A bifocal add of about +2.50
Exam prep: what add helps accommodative esotropia at near? ||| A bifocal add of about +2.50
What add helps accommodative esotropia at near? (A) choroid (B) vertical (C) Misdirected (D) A bifocal add of about +2.50 ||| D
What add helps accommodative esotropia at near? (A) A bifocal add of about +2.50 (B) in front of the retina (C) Ganciclovir (D) Asthmatics ||| A
True or false: A +2.50 add controls near accommodative esotropia. ||| true
True or false: A sclera add controls near accommodative esotropia. ||| false
Fill in the blank: A ____ add controls near accommodative esotropia. ||| +2.50
Which syndrome has narrowed palpebral fissures, ptosis, and epicanthus? ||| Blepharophimosis syndrome
Quick question: which syndrome has narrowed palpebral fissures, ptosis, and epicanthus? ||| Blepharophimosis syndrome
Exam prep: which syndrome has narrowed palpebral fissures, ptosis, and epicanthus? ||| Blepharophimosis syndrome
Which syndrome has narrowed palpebral fissures, ptosis, and epicanthus? (A) Depression (B) deposits (C) Blepharophimosis syndrome (D) phenylephrine ||| C
Which syndrome has narrowed palpebral fissures, ptosis, and epicanthus? (A) coherence (B) Blepharophimosis syndrome (C) Lisch (D) Ciliary flush ||| B
True or false: Blepharophimosis gives small lids with ptosis. ||| true
True or false: Ectropion gives small lids with ptosis. ||| false
Fill in the blank: ____ gives small lids with ptosis. ||| Blepharophimosis
Which vision development milestone should be mature by about age 6? ||| Monocular acuity of 20/20 with stereoacuity
Quick question: which vision development milestone should be mature by about age 6? ||| Monocular acuity of 20/20 with stereoacuity
Exam prep: which vision development milestone should be mature by about age 6? ||| Monocular acuity of 20/20 with stereoacuity
Which vision development milestone should be mature by about age 6? (A) painless (B) Monocular acuity of 20/20 with stereoacuity (C) Descemet's membrane (D) cover test ||| B
Which vision development milestone should be mature by about age 6? (A) meridians (B) 30 to 60 (C) half (D) Monocular acuity of 20/20 with stereoacuity ||| D
True or false: Adult level acuity and stereo mature near age 6. ||| true
What is stereoacuity? ||| The smallest horizontal disparity giving binocular depth
Quick question: what is stereoacuity? ||| The smallest horizontal disparity giving binocular depth
Exam prep: what is stereoacuity? ||| The smallest horizontal disparity giving binocular depth
What is stereoacuity? (A) Graves (B) ophthalmic artery (C) MiSight (D) The smallest horizontal disparity giving binocular depth ||| D
What is stereoacuity? (A) The smallest horizontal disparity giving binocular depth (B) 2.00 (C) Ethambutol (D) keratoconus ||| A
True or false: Stereoacuity is the finest binocular depth disparity seen. ||| true
True or false: Stereoacuity is the finest binocular depth Base-down seen. ||| false
Fill in the blank: Stereoacuity is the finest binocular depth ____ seen. ||| disparity
What does suppression in strabismus prevent? ||| Diplopia at the cost of binocular cooperation
Quick question: what does suppression in strabismus prevent? ||| Diplopia at the cost of binocular cooperation
Exam prep: what does suppression in strabismus prevent? ||| Diplopia at the cost of binocular cooperation
What does suppression in strabismus prevent? (A) intracranial hypertension (B) Vogt (C) Office based (D) Diplopia at the cost of binocular cooperation ||| D
What does suppression in strabismus prevent? (A) Dissociated vertical (B) year (C) High contrast (D) Diplopia at the cost of binocular cooperation ||| D
True or false: Suppression avoids double vision but blocks binocularity. ||| true
Which test uses polarized glasses and random dot stereograms? ||| Randot stereotest
Quick question: which test uses polarized glasses and random dot stereograms? ||| Randot stereotest
Exam prep: which test uses polarized glasses and random dot stereograms? ||| Randot stereotest
Which test uses polarized glasses and random dot stereograms? (A) Extorsion (B) Randot stereotest (C) Painful (D) vertex ||| B
Which test uses polarized glasses and random dot stereograms? (A) 30 to 60 (B) With motion (C) Randot stereotest (D) task lighting ||| C
True or false: Randot testing uses random dot polarized targets. ||| true
True or false: Vitamin A testing uses random dot polarized targets. ||| false
Fill in the blank: ____ testing uses random dot polarized targets. ||| Randot
What is convergence insufficiency? ||| Near exophoria with reduced positive fusional vergence and low NPC
Quick question: what is convergence insufficiency? ||| Near exophoria with reduced positive fusional vergence and low NPC
Exam prep: what is convergence insufficiency? ||| Near exophoria with reduced positive fusional vergence and low NPC
What is convergence insufficiency? (A) Raised IOP (B) Near exophoria with reduced positive fusional vergence and low NPC (C) Ten (D) Extorsion ||| B
What is convergence insufficiency? (A) Near exophoria with reduced positive fusional vergence and low NPC (B) alternating (C) Horizontally (D) Third nerve ||| A
True or false: CI shows near exophoria with low PFV and receded NPC. ||| true
What is the evidence based therapy for convergence insufficiency? ||| Office based vergence therapy with home reinforcement
Quick question: what is the evidence based therapy for convergence insufficiency? ||| Office based vergence therapy with home reinforcement
Exam prep: what is the evidence based therapy for convergence insufficiency? ||| Office based vergence therapy with home reinforcement
What is the evidence based therapy for convergence insufficiency? (A) bone spicule (B) curtain (C) flame (D) Office based vergence therapy with home reinforcement ||| D
What is the evidence based therapy for convergence insufficiency? (A) Anti-VEGF (B) Ring scotoma (C) Prostaglandin (D) Office based vergence therapy with home reinforcement ||| D
True or false: Office vergence therapy is the proven CI treatment. ||| true
Which school age symptom cluster suggests CI? ||| Headaches, blurred or doubled text after reading
Quick question: which school age symptom cluster suggests CI? ||| Headaches, blurred or doubled text after reading
Exam prep: which school age symptom cluster suggests CI? ||| Headaches, blurred or doubled text after reading
Which school age symptom cluster suggests CI? (A) doubled (B) dyslipidemia (C) plus 6 (D) Headaches, blurred or doubled text after reading ||| D
Which school age symptom cluster suggests CI? (A) Conjunctivochalasis (B) Sherrington (C) Hering (D) Headaches, blurred or doubled text after reading ||| D
True or false: CI causes end of day reading blur and diplopia. ||| true
What is a normal near point of convergence break? ||| About 6 to 10 centimeters
Quick question: what is a normal near point of convergence break? ||| About 6 to 10 centimeters
Exam prep: what is a normal near point of convergence break? ||| About 6 to 10 centimeters
What is a normal near point of convergence break? (A) Bull's eye (B) Hypoxia (C) Trantas (D) About 6 to 10 centimeters ||| D
What is a normal near point of convergence break? (A) Benzalkonium (B) Cortical (C) Topiramate (D) About 6 to 10 centimeters ||| D
True or false: NPC normally breaks near 6 to 10 centimeters. ||| true
True or false: NPC normally breaks near accommodative centimeters. ||| false
Fill in the blank: NPC normally breaks near ____ centimeters. ||| 6 to 10
What is fusional vergence facility? ||| The rate of vergence adaptation with prisms per minute, about 15 cycles per minute normal
Quick question: what is fusional vergence facility? ||| The rate of vergence adaptation with prisms per minute, about 15 cycles per minute normal
Exam prep: what is fusional vergence facility? ||| The rate of vergence adaptation with prisms per minute, about 15 cycles per minute normal
What is fusional vergence facility? (A) tear layer (B) Proparacaine (C) The rate of vergence adaptation with prisms per minute, about 15 cycles per minute normal (D) pain on eye movement ||| C
What is fusional vergence facility? (A) binocular fogging (B) The rate of vergence adaptation with prisms per minute, about 15 cycles per minute normal (C) Dissociated vertical (D) Randot ||| B
True or false: Vergence facility flips base-in base-out near 15 cycles per minute. ||| true
True or false: Vergence facility flips base-in base-out near half cycles per minute. ||| false
Fill in the blank: Vergence facility flips base-in base-out near ____ cycles per minute. ||| 15
What does NRA measure? ||| Relative plus tolerance at near, about +2.50 normally
Quick question: what does NRA measure? ||| Relative plus tolerance at near, about +2.50 normally
Exam prep: what does NRA measure? ||| Relative plus tolerance at near, about +2.50 normally
What does NRA measure? (A) fovea (B) bone spicule (C) rounds (D) Relative plus tolerance at near, about +2.50 normally ||| D
What does NRA measure? (A) Relative plus tolerance at near, about +2.50 normally (B) Retinoscopy (C) 120 million (D) 3.06 ||| A
True or false: NRA is about +2.50 of relative plus at near. ||| true
True or false: NRA is about before 6 months of relative plus at near. ||| false
Fill in the blank: NRA is about ____ of relative plus at near. ||| +2.50
Which law states equal innervation flows to yoked muscles of both eyes? ||| Hering's law
Quick question: which law states equal innervation flows to yoked muscles of both eyes? ||| Hering's law
Exam prep: which law states equal innervation flows to yoked muscles of both eyes? ||| Hering's law
Which law states equal innervation flows to yoked muscles of both eyes? (A) Elevation (B) Hering's law (C) 0.3 (D) do not divide ||| B
Which law states equal innervation flows to yoked muscles of both eyes? (A) Hering's law (B) intracranial hypertension (C) 0.57 (D) thickness ||| A
True or false: Hering's law sends equal innervation to yoke muscles. ||| true
True or false: salmon patch's law sends equal innervation to yoke muscles. ||| false
Fill in the blank: ____'s law sends equal innervation to yoke muscles. ||| Hering
Which law states increased innervation to an agonist decreases its antagonist? ||| Sherrington's law
Quick question: which law states increased innervation to an agonist decreases its antagonist? ||| Sherrington's law
Exam prep: which law states increased innervation to an agonist decreases its antagonist? ||| Sherrington's law
Which law states increased innervation to an agonist decreases its antagonist? (A) Extorsion (B) Sherrington's law (C) nasolacrimal duct (D) Against ||| B
Which law states increased innervation to an agonist decreases its antagonist? (A) Epithelial (B) Apraclonidine (C) scintillating (D) Sherrington's law ||| D
True or false: Sherrington's law pairs agonist inhibition with antagonist relaxation. ||| true
True or false: plus 6's law pairs agonist inhibition with antagonist relaxation. ||| false
Fill in the blank: ____'s law pairs agonist inhibition with antagonist relaxation. ||| Sherrington
What is DVD in strabismus terms? ||| Dissociated vertical deviation, an upward drift of the covered eye
Quick question: what is DVD in strabismus terms? ||| Dissociated vertical deviation, an upward drift of the covered eye
Exam prep: what is DVD in strabismus terms? ||| Dissociated vertical deviation, an upward drift of the covered eye
What is DVD in strabismus terms? (A) 1.50 (B) red (C) Tilt (D) Dissociated vertical deviation, an upward drift of the covered eye ||| D
What is DVD in strabismus terms? (A) 0.0 (B) Staphylococcus (C) yellowish (D) Dissociated vertical deviation, an upward drift of the covered eye ||| D
True or false: DVD is an upward drift when an eye is covered. ||| true
What is Brown syndrome? ||| Restricted elevation in adduction from superior oblique tendon tightness
Quick question: what is Brown syndrome? ||| Restricted elevation in adduction from superior oblique tendon tightness
Exam prep: what is Brown syndrome? ||| Restricted elevation in adduction from superior oblique tendon tightness
What is Brown syndrome? (A) Scleral (B) Restricted elevation in adduction from superior oblique tendon tightness (C) hyperopia (D) tear layer ||| B
